Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,Actual Result
H15 - Specific header allow versus generic block,HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, raw-duplicate-headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h15/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H15P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h15/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H15CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=Yes; child eligible=Yes. Confirm policy before pass/fail. Proposed: a matching scoped header overrides generic directives when both dimensions are explicit. Parent and child index. Confirm that the ticket-specific meta precedence also applies to HTTP headers. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
"H16 - Specific allow first, generic block second",HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, raw-duplicate-headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h16/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H16P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h16/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H16CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=Yes; child eligible=Yes. Confirm policy before pass/fail. Same policy and outcome as H15, with physical field order reversed. Detects last-header-wins or scope leakage. Confirm header precedence first. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
H17 - Specific header block versus generic allow,HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, raw-duplicate-headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h17/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H17P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h17/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H17CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=No; child eligible=No. Confirm policy before pass/fail. Proposed: the matching scoped noindex/nofollow wins; process the parent, do not add/update it, and do not enqueue its child. Confirm header precedence first. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
"H18 - Specific block first, generic allow second",HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, raw-duplicate-headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h18/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H18P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h18/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H18CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=No; child eligible=No. Confirm policy before pass/fail. Reverse of H17. A later generic allow must not overwrite the matching scoped restriction under the proposed policy. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
H19 - Foreign bot allow cannot relax generic noindex,HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, raw-duplicate-headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h19/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H19P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h19/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H19CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=No; child eligible=Yes. Confirm policy before pass/fail. Proposed with scoped-header support: ignore googlebot for SearchStax; keep generic noindex. Parent does not index, ordinary child remains eligible. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
H20 - Foreign bot block cannot restrict generic allow,HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, raw-duplicate-headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h20/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H20P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h20/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H20CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=Yes; child eligible=Yes. Confirm policy before pass/fail. Proposed with scoped-header support: the googlebot restriction must not leak into SearchStax decisions. Both parent and child remain eligible. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
H21 - Mixed-case scoped bot name and tokens,HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h21/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H21P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h21/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H21CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=No; child eligible=No. Confirm policy before pass/fail. Proposed: match the configured SearchStax Crawler name and directive tokens case-insensitively. Confirm the bot-scoped header parser contract. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
H22 - Lookalike scoped bot name is not an exact match,HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h22/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H22P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h22/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H22CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=Yes; child eligible=Yes. Confirm policy before pass/fail. Proposed: do not match SearchStax Crawler-lookalike to SearchStax Crawler by substring. No generic restrictions are present. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
H23 - Repeated generic fields in reverse order,HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Confirm. Requirements: headers, raw-duplicate-headers, header-precedence-decision. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h23/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H23P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Decision / lifecycle check. Targets: /cases/h23/child/: fetched/queue-eligible=Decision / lifecycle check, indexed=Decision / lifecycle check, marker=QA5864H23CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Proposed only: parent index=No; child eligible=No. Confirm policy before pass/fail. Reverse of H07. Proposed: combine independent restrictions from both generic field instances. Both noindex and nofollow apply regardless of field order. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
H24 - Repeated identical noindex fields,HTTP headers,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: headers, raw-duplicate-headers. Verify hosting/token/parser prerequisites before assigning a result. ","1. Copy start URL: {BASE_URL}/cases/h24/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864H24P. With Ignore robots.txt ON: parent fetched = Yes; indexed = No. Targets: /cases/h24/child/: fetched/queue-eligible=Yes, indexed=Yes, marker=QA5864H24CHILD. With Ignore robots.txt OFF: the same page-level behavior applies. Identical repeated noindex must not be dropped or cause a failure. Parent can process but cannot add/update; its ordinary child remains eligible. Verify two physical fields. Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
