Title,Section,Type,Priority,Preconditions,Steps,Expected Result,References,Actual Result
M01 - Control: no robots directives,HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m01/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M01P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Yes. Targets: /cases/m01/child/: fetched/queue-eligible=Yes, indexed=Yes, marker=QA5864M01CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
M02 - Explicit index and follow,HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m02/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M02P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Yes. Targets: /cases/m02/child/: fetched/queue-eligible=Yes, indexed=Yes, marker=QA5864M02CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
M03 - noindex still discovers the child,HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m03/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M03P. With Ignore robots.txt ON: parent fetched = Yes; indexed = No. Targets: /cases/m03/child/: fetched/queue-eligible=Yes, indexed=Yes, marker=QA5864M03CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
M04 - nofollow still indexes the parent,HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m04/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M04P. With Ignore robots.txt ON: parent fetched = Yes; indexed = Yes. Targets: /cases/m04/child/: fetched/queue-eligible=No, indexed=No, marker=QA5864M04CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
M05 - Combined tokens: no spaces,HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m05/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M05P. With Ignore robots.txt ON: parent fetched = Yes; indexed = No. Targets: /cases/m05/child/: fetched/queue-eligible=No, indexed=No, marker=QA5864M05CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
M06 - Combined tokens: uppercase,HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m06/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M06P. With Ignore robots.txt ON: parent fetched = Yes; indexed = No. Targets: /cases/m06/child/: fetched/queue-eligible=No, indexed=No, marker=QA5864M06CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
M07 - Combined tokens: comma and space,HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m07/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M07P. With Ignore robots.txt ON: parent fetched = Yes; indexed = No. Targets: /cases/m07/child/: fetched/queue-eligible=No, indexed=No, marker=QA5864M07CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
M08 - Whitespace-separated tokens,HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m08/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M08P. With Ignore robots.txt ON: parent fetched = Yes; indexed = No. Targets: /cases/m08/child/: fetched/queue-eligible=No, indexed=No, marker=QA5864M08CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
"M09 - Tabs, newlines and extra whitespace",HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m09/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M09P. With Ignore robots.txt ON: parent fetched = Yes; indexed = No. Targets: /cases/m09/child/: fetched/queue-eligible=No, indexed=No, marker=QA5864M09CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
"M10 - Mixed-case tag, name and attributes",HTML meta,Functional,High,"Use this scenario URL as the sole Start URL, never the dashboard or a suite. Dedicated non-production index; fresh crawl queue/index for each independent run. Disable sitemap/import discovery. Allow all /cases/ paths and seed /suites/ paths; depth >= 5; item limit >= 500. Wait for the previous run to finish. Use the published site base URL. Gate: Ready. Requirements: none. ","1. Copy start URL: {BASE_URL}/cases/m10/. For isolated execution, do not seed any target directly.
2. Inspect the final GET response and original HTML; confirm the active fixture and record the actual crawler user-agent.
3. Run a full crawl; record environment, app ID, crawl definition ID, crawl run ID, settings and timestamps.
4. Check parent processing/indexing and every target's discovery/queue/index evidence; search unique markers and inspect exact document URLs.
5. Repeat with Ignore robots.txt toggled in a clean run; repeat the same setting once to check stability and duplicate documents.","Parent marker: QA5864M10P. With Ignore robots.txt ON: parent fetched = Yes; indexed = No. Targets: /cases/m10/child/: fetched/queue-eligible=No, indexed=No, marker=QA5864M10CHILD. With Ignore robots.txt OFF: the same page-level behavior applies.  Always distinguish noindex (processing permitted, no add/update) from nofollow (no enqueue from this occurrence). HTTP retries do not imply duplicate index documents.",https://searchstax.atlassian.net/browse/STUDIO-5864,Not run
